PLASENCIA   TORRES   S,A;;;;;;;;;;
RESUMEN DE PROYECCION DE PARTOS PARA ESTE AÑO 2026;;;;;;;;;;
Mes / Años  >  2024;TOTAL HATO;%;Programacion;Total;Total;Total;Total;Total;Vacas;Novillas
Finca - Estelí /Jalapa;Reproductivo;Parición;Partos;Partos;Vacas;Novillas;M.N;I.A;I.A;I.A
Enero;1283;0;;;;;;;;
Febrero;1201;0;;;;;;;;
Marzo;1336;0;;;;;;;;
Abril;1285;0;;;;;;;;
Mayo;1291;0;;;;;;;;
Junio;1266;0;;;;;;;;
Julio;1274;0;;;;;;;;
Agosto;1285;0;;;;;;;;
Septiembre;1297;0;;;;;;;;
Octubre;1297;0;;;;;;;;
Noviembre;1297;0;;;;;;;;
Diciembre;1297;0;;;;;;;;
;;;;Suma;Suma;Suma;Suma;Suma;Suma;Suma
TOTAL PARICION AÑO/2025;1336;0;0;0;0;0;0;0;0;0
PEDIENTE X PARIR;;;0;;;;;;;
